TCS.NS,INFY.NS,RELIANCE.NS
0.20420087567805623,0.14028430429984795,0.3103102614976642
0.20420087567805623,0.14028430429984795,0.3103102614976642
0.20025986951822994,0.1388508006270513,0.3230590429178925
0.21729128597502656,0.14638503033431682,0.3239768588030513
0.2172122108795762,0.14161768815090908,0.30629220283900266
0.21935128206957044,0.13431685034596752,0.31775126377345647
0.2389175383226385,0.12784936560784665,0.31207130930622057
0.2227178705615943,0.13408355316438308,0.3293591542287025
0.22240106472818866,0.14115109378774027,0.3291854182669591
0.21321189839816201,0.1647539391987573,0.3272259310973464
0.21976681944971033,0.1661541958919615,0.32013240074504096
0.22768870628482452,0.16075340876261562,0.31737915613120266
0.23240215481881554,0.16038679214007306,0.32434876340366686
0.2245991052720342,0.1609535536853472,0.3457290479049335
0.20529012388562662,0.16135360672896132,0.3215956541509207
0.20556744833259655,0.15738641799315173,0.3223646405152872
0.21976681944971033,0.16252037679910208,0.32209175255356165
0.21542021645796472,0.17195484662344246,0.3188674513391256
0.21242283228234027,0.17088810165429774,0.31623833284676667
0.2068055239570301,0.16778770240638036,0.30879739825152047
0.21256194379614035,0.16772106636608614,0.29153445976998976
0.20098985395762148,0.17552202967600766,0.2955525184286513
0.1943404134560427,0.16952123402179525,0.27764478738477943
0.17099775978232779,0.1663542460939535,0.26172131459037923
0.18030699894905378,0.16065347838235916,0.2487493227292356
0.18239108823674277,0.1742885288448332,0.26903812306414604
0.19779416426918806,0.17208821342477038,0.2800010179154128
0.19056912671272974,0.16328714118599835,0.2846144623377896
0.19382417888404035,0.16725418784069862,0.2726346672819279
0.20390732061845485,0.16452068937754266,0.2736018899657127
0.20051310077205475,0.1647539391987573,0.28210933460581783
0.20740117059221896,0.16975457856374937,0.2908152186069794
0.21581716445131904,0.17722221959109058,0.29272496057523595
0.21274070518024435,0.1733551506770165,0.29939704416720764
0.22030293511815402,0.17535541589508735,0.29475889634551783
0.22526506584153005,0.1808226496232483,0.28937660091986667
0.2175637805511096,0.18268959540036084,0.30743316148453087
0.20186288120106977,0.18038934960004166,0.2985785833236691
0.1854081850249404,0.17962253785277554,0.2782400377874025
0.20160510088280492,0.1813227751282282,0.2640775451210126
0.18868328677656032,0.17088810165429774,0.25197369162421773
0.18149784292911675,0.16762108862545994,0.24912136269094337
0.13967582243574994,0.13685044068824087,0.2205482604762971
0.14013241371842833,0.14308462824477736,0.2143475042071074
0.15398706684131325,0.1470517696202172,0.22759238402997656
0.17264519504506914,0.15488607463047072,0.22602977558247656
0.18925899615401875,0.15211913974624308,0.2118672152355407
0.1858450075337561,0.14168446627231263,0.19195038718179186
0.12863973594309597,0.11868158202579243,0.11414341013642743
0.12123604932511256,0.10637991541437958,0.1336881982284685
0.04825069096638357,0.06984205316675113,0.0887699057369043
0.06272092798218831,0.07727635249376025,0.10975327767578508
0.019092591938417502,0.037804704779134946,0.06530627866672983
0.0038485085162136556,0.019002330130193645,0.06148662552885159
0.0024192598627227335,0.00523396022676148,0.04189229527709243
0.0,0.012734895594064821,0.016692391478220603
0.06442104253437031,0.03917154873145251,0.06642243239212592
0.01333605977672847,0.0,0.0
0.026712274875365427,0.042238511558298275,0.029441139058175858
0.04556657446293377,0.05317338157776336,0.09831905550173642
0.06182184190046658,0.0777097472377064,0.09035731910453632
0.07523793151456493,0.08417723197582727,0.09005969390322471
0.05684331208059101,0.06684167901982979,0.07262322250158876
0.07587766476191904,0.07670954358811632,0.11394503845591714
0.02895148164432837,0.05090633539666678,0.09742621373807475
0.007137931396626218,0.03950496573477247,0.09593795237042485
0.0555236902639743,0.0750426953733655,0.1597561727111429
0.02763169134384358,0.07010873940903728,0.15283603991785072
0.05190476909875563,0.07320909129658482,0.16662656030307893
0.049145564951401655,0.07397599776459057,0.15134794775156596
0.03950840001597222,0.07507613179443706,0.13185276949978902
0.0318706331438432,0.06494143890275494,0.14088101594184804
0.06792011550804711,0.06820849929196249,0.1686355896324097
0.07289847684405448,0.08457728501944145,0.17845752583814828
0.04050807096697773,0.07117557909892158,0.1752579957035713
0.05324444049568178,0.07694298285081008,0.23788544451685883
0.09673164321923478,0.10191279061506914,0.24150682749504587
0.07285860232859309,0.08771097860732097,0.26437520416259724
0.08007650740129979,0.09211146736633719,0.2706999511921742
0.08905394567035485,0.0895112883441394,0.26990632910904083
0.1076884861325702,0.10007918653828851,0.2693109433453255
0.15119562611385384,0.1260491505917678,0.2886821308367153
0.11760555893428115,0.09817899378158346,0.2734034506046564
0.11852525620920618,0.09817899378158346,0.2860281735839512
0.1068686997914563,0.0929783042145993,0.2860778511047614
0.10209016032307117,0.09234490662903094,0.30899576993203076
0.10278992998877501,0.09851241078490341,0.33620477074077953
0.11954492057923183,0.10431301415601452,0.3436455699749335
0.12522338854867943,0.10748014416496565,0.2952548593870667
0.12528314416058217,0.11181399688368765,0.3108236861200973
0.1063688081546641,0.08781100370831696,0.2805275725637821
0.10259005195986326,0.08391049837317127,0.29227055338896973
0.12366373338124259,0.09164482564279863,0.28293131483775164
0.12488338810275879,0.09477856659104794,0.2669819880747554
0.12686268042446025,0.09541186945587671,0.2794008945134732
0.14189840546305565,0.09717879013199338,0.28318166517763826
0.15355490571951624,0.11061379039247538,0.2783243000672508
0.1226240755921969,0.10274619104225968,0.2745685035245829
0.14753688659446307,0.11934827395132303,0.2853349217506291
0.1471367374076139,0.1206484581831615,0.29870528130589885
0.13436054952473786,0.11598521409255164,0.29477432751002025
0.16351202152055677,0.12176355808986156,0.32279197548312827
0.16427177144332095,0.12754185472680168,0.3304786581411288
0.16627723492587465,0.12311527040403131,0.3334582265010014
0.18448511807265222,0.12730528967970184,0.3525622111965349
0.1671193172988733,0.12446693535783127,0.353513664313087
0.17654424872172692,0.13615864776672176,0.34740441214217427
0.17666437771971577,0.1339622158969817,0.33120473503929143
0.19138312844103733,0.13277953274259163,0.3487314246088293
0.1748997900073228,0.12473726834859128,0.33148019486176744
0.16361007913181835,0.11669486187348149,0.3570690587588627
0.15975982961563384,0.1136536157274316,0.3699637594364024
0.1661367755411295,0.1228787053569314,0.3715410545623981
0.16693887107608796,0.12453447124515149,0.37036436058854866
0.16304852239928436,0.13146173045319137,0.3906701487405209
0.16565547329112285,0.12581855295126143,0.44249916642947457
0.1589777836609848,0.1245682865491814,0.43586403641565324
0.16192563357937406,0.13602352863171158,0.42321982143909215
0.16469298111368846,0.13163061753186167,0.4267000227981919
0.15422530303087312,0.12240557526273166,0.42171744867758815
0.19543409840547432,0.15464259496938154,0.43361061263448936
0.18853580723064245,0.14352517440456175,0.4243464994894011
0.18071517920028457,0.14636357608680206,0.41480692652183687
0.18468561387574733,0.14362657295628162,0.4315824973911688
