Date,TCS.NS,INFY.NS,RELIANCE.NS
,TCS.NS,INFY.NS,RELIANCE.NS
2020-01-01,1866.1136474609375,633.1510620117188,675.32421875
2020-01-02,1857.5474853515625,631.3037109375,686.8212280273438
2020-01-03,1894.566650390625,641.0135498046875,687.6488647460938
2020-01-06,1894.3946533203125,634.8696899414062,671.7007446289062
2020-01-07,1899.0438232421875,625.460693359375,682.0345458984375
2020-01-08,1941.5728759765625,617.125732421875,676.9124145507812
2020-01-09,1906.361572265625,625.159912109375,692.502685546875
2020-01-10,1905.6727294921875,634.2682495117188,692.3460083007812
2020-01-13,1885.699462890625,664.6862182617188,690.5789794921875
2020-01-14,1899.947265625,666.4906616210938,684.181884765625
2020-01-15,1917.166259765625,659.5306396484375,681.698974609375
2020-01-16,1927.4105224609375,659.0579833984375,687.9842529296875
2020-01-17,1910.450927734375,659.7883911132812,707.2652587890625
2020-01-20,1868.4815673828125,660.3040771484375,685.5015258789062
2020-01-21,1869.0838623046875,655.1912231445312,686.1949462890625
2020-01-22,1899.947265625,661.8076171875,685.9489135742188
2020-01-23,1890.4990234375,673.9662475585938,683.0411376953125
2020-01-24,1883.98486328125,672.5914916992188,680.6701049804688
2020-01-27,1871.775146484375,668.5958862304688,673.9598388671875
2020-01-28,1884.286376953125,668.5099487304688,658.3919067382812
2020-01-29,1859.1341552734375,678.5634155273438,662.0155029296875
2020-01-30,1844.68115234375,670.830078125,645.8660278320312
2020-01-31,1793.9447021484375,666.7484130859375,631.5059814453125
2020-02-03,1814.1790771484375,659.40185546875,619.8077392578125
2020-02-04,1818.7088623046875,676.9737548828125,638.1044921875
2020-02-05,1852.1884765625,674.1382446289062,647.990966796875
2020-02-06,1836.484130859375,662.7958984375,652.1513061523438
2020-02-07,1843.5592041015625,667.908447265625,641.3478393554688
2020-02-10,1865.4759521484375,664.3855590820312,642.2201538085938
2020-02-11,1858.098388671875,664.6862182617188,649.8922119140625
2020-02-12,1873.0694580078125,671.1307983398438,657.7432861328125
2020-02-13,1891.3621826171875,680.7545776367188,659.465576171875
2020-02-14,1884.6748046875,675.770751953125,665.4824829101562
2020-02-17,1901.1124267578125,678.3485717773438,661.2997436523438
2020-02-18,1911.89892578125,685.3946533203125,656.4459228515625
2020-02-19,1895.1588134765625,687.800537109375,672.7295532226562
2020-02-20,1861.03271484375,684.8360595703125,664.7443237304688
2020-02-24,1825.2667236328125,683.847900390625,646.4027709960938
2020-02-25,1860.471435546875,686.0390014648438,633.6309814453125
2020-02-26,1832.3853759765625,672.5914916992188,622.7155151367188
2020-02-27,1816.7672119140625,668.381103515625,620.1432495117188
2020-02-28,1725.8642578125,628.7258911132812,594.3756713867188
2020-03-02,1726.8568115234375,636.7600708007812,588.7838134765625
2020-03-03,1756.9705810546875,641.8727416992188,600.72802734375
2020-03-04,1797.5252685546875,651.9690551757812,599.3189086914062
2020-03-05,1833.6368408203125,648.403076171875,586.5470581054688
2020-03-06,1826.2156982421875,634.9556274414062,568.5857543945312
2020-03-09,1701.8768310546875,605.3109130859375,498.4184265136719
2020-03-11,1685.7838134765625,589.4573974609375,516.044189453125
2020-03-12,1527.1455078125,542.3695678710938,475.53631591796875
2020-03-13,1558.5975341796875,551.9503173828125,494.4593811035156
2020-03-16,1463.7681884765625,501.08172607421875,454.37652587890625
2020-03-17,1430.63427734375,476.85040283203125,450.93194580078125
2020-03-18,1427.52783203125,459.1064758300781,433.261474609375
2020-03-19,1422.2694091796875,468.77325439453125,410.5359191894531
2020-03-20,1562.2930908203125,502.8431396484375,455.3830871582031
2020-03-23,1451.256103515625,452.3612976074219,395.48248291015625
2020-03-24,1480.330322265625,506.79595947265625,422.03289794921875
2020-03-25,1521.311767578125,520.8878173828125,484.14788818359375
2020-03-26,1556.6434326171875,552.5088500976562,476.96783447265625
2020-03-27,1585.8040771484375,560.8438110351562,476.6994323730469
2020-03-30,1545.8223876953125,538.5028076171875,460.9750061035156
2020-03-31,1587.194580078125,551.219970703125,498.2395324707031
2020-04-01,1485.1973876953125,517.96630859375,483.3426818847656
2020-04-03,1437.7841796875,503.2727966308594,482.0005798339844
2020-04-07,1542.953857421875,549.0718383789062,539.5526123046875
2020-04-08,1482.3291015625,542.7131958007812,533.3119506835938
2020-04-09,1535.088134765625,546.7088623046875,545.748291015625
2020-04-13,1529.0908203125,547.697021484375,531.969970703125
2020-04-15,1508.1434326171875,549.11474609375,514.3888549804688
2020-04-16,1491.5423583984375,536.0538940429688,522.5308227539062
2020-04-17,1569.89794921875,540.2643432617188,547.5601196289062
2020-04-20,1580.7196044921875,561.3593139648438,556.4178466796875
2020-04-21,1510.3165283203125,544.0880737304688,553.5324096679688
2020-04-22,1537.99951171875,551.5206909179688,610.0106201171875
2020-04-23,1632.5220947265625,583.7003784179688,613.2763671875
2020-04-24,1580.63232421875,565.39794921875,633.8993530273438
2020-04-27,1596.321044921875,571.0690307617188,639.60302734375
2020-04-28,1615.8341064453125,567.7179565429688,638.8873901367188
2020-04-29,1656.3372802734375,581.337158203125,638.3505249023438
2020-04-30,1750.9033203125,614.8056640625,655.8196411132812
2020-05-04,1677.8929443359375,578.888427734375,642.0411987304688
2020-05-05,1679.8919677734375,578.888427734375,653.4263305664062
2020-05-06,1654.555908203125,572.18603515625,653.4710693359375
2020-05-07,1644.1689453125,571.3697509765625,674.1387939453125
2020-05-08,1645.68994140625,579.3179931640625,698.6761474609375
2020-05-11,1682.1083984375,586.793701171875,705.3863525390625
2020-05-12,1694.4505615234375,590.875244140625,661.7470703125
2020-05-13,1694.5806884765625,596.4605102539062,675.7871704101562
2020-05-14,1653.468994140625,565.52685546875,648.4657592773438
2020-05-15,1645.2554931640625,560.5001220703125,659.0556640625
2020-05-18,1691.0606689453125,570.467529296875,650.6333618164062
2020-05-19,1693.7120361328125,574.506103515625,636.2501220703125
2020-05-20,1698.013916015625,575.3225708007812,647.44970703125
2020-05-21,1730.69482421875,577.5994873046875,650.8591918945312
2020-05-22,1756.0313720703125,594.9136352539062,646.478759765625
2020-05-26,1688.80078125,584.7744140625,643.091796875
2020-05-27,1742.9501953125,606.170166015625,652.801025390625
2020-05-28,1742.081298828125,607.845703125,664.858642578125
2020-05-29,1714.3114013671875,601.8361206054688,661.3135986328125
2020-06-01,1777.673828125,609.2827758789062,686.580322265625
2020-06-02,1779.3251953125,616.7296142578125,693.5122680664062
2020-06-03,1783.683837890625,611.0247192382812,696.1992797851562
2020-06-04,1823.26025390625,616.4247436523438,713.4274291992188
2020-06-05,1785.5146484375,612.7666015625,714.2854614257812
2020-06-08,1805.999755859375,627.8343505859375,708.7760620117188
2020-06-09,1806.2613525390625,625.0036010742188,694.1670532226562
2020-06-10,1838.2537841796875,623.4794921875,709.972900390625
2020-06-11,1802.4256591796875,613.114990234375,694.4154663085938
2020-06-12,1777.886962890625,602.7505493164062,717.4918823242188
2020-06-15,1769.5184326171875,598.8312377929688,729.1204833984375
2020-06-16,1783.3785400390625,610.719970703125,730.5428466796875
2020-06-17,1785.1221923828125,612.853759765625,729.4816284179688
2020-06-18,1776.66650390625,621.78125,747.7938232421875
2020-06-19,1782.33251953125,614.508544921875,794.5337524414062
2020-06-22,1767.818359375,612.8972778320312,788.5501098632812
2020-06-23,1774.2257080078125,627.6600952148438,777.1473388671875
2020-06-24,1780.24072265625,621.9989624023438,780.285888671875
2020-06-25,1757.48828125,610.1101684570312,775.7926025390625
2020-06-26,1847.058349609375,651.6552734375,786.5179443359375
